year,total_mm,anom_pct,anom_z,spi3,nino34,dmi,nino34_AS,dmi_AS,nino34_AS_L1,dmi_AS_L1
2008,191.33501434326172,-21.3574899922525,-0.44809219635074593,-0.407643906430664,-0.13333333333333333,0.018750000000000003,-0.16,0.105,-0.8049999999999999,0.2355
2009,267.2309875488281,9.837269904953379,0.24483419807357368,0.40055584454755444,0.32916666666666666,0.06033333333333333,0.65,-0.1035,-0.16,0.105
2010,136.2004623413086,-44.01889136966835,-0.9514678658798315,-1.1458308152503651,-0.9966666666666666,0.045500000000000006,-1.445,-0.165,0.65,-0.1035
2011,384.8906784057617,58.19775137503378,1.3190612210771537,1.394528876509675,-0.32333333333333336,0.13075,-0.71,0.273,-1.445,-0.165
2012,260.43341064453125,7.043330115315358,0.18277266494903366,0.33498141203509196,-0.15666666666666668,-0.12491666666666666,0.55,0.5525,-0.71,0.273
2013,196.08148956298828,-19.40659393566767,-0.40475711780420337,-0.35131761291507735,0.04666666666666667,-0.10225000000000001,-0.19,-0.252,0.55,0.5525
2014,224.6958236694336,-7.645531465972321,-0.14350969552623494,-0.02993229926101615,1.0366666666666666,0.09375,0.255,-0.2585,-0.19,-0.252
2015,315.7567672729492,29.782333962813517,0.687872111162721,0.8394719873140185,1.165,-0.06666666666666667,1.94,0.4305,0.255,-0.2585
2016,137.9217987060547,-43.311387765292075,-0.9357521519830697,-1.1199051247354017,-0.17583333333333337,0.13916666666666666,-0.47,-0.4405,1.94,0.4305
2017,216.61176872253418,-10.968239409664005,-0.2173167080736708,-0.11778905256603553,-0.3558333333333333,0.10683333333333334,-0.37,0.1915,-0.47,-0.4405
2018,207.85474014282227,-14.567552949226704,-0.29726793583084327,-0.21548610756832706,0.6166666666666667,0.48741666666666666,0.175,0.363,-0.37,0.1915
2019,525.3389129638672,115.92477917346278,2.6013464947900866,2.350939563164611,0.19333333333333336,0.248,0.15,0.6645,0.175,0.363
2020,233.1527099609375,-4.1695823978063755,-0.06629875167080429,0.05973572608294284,-0.665,0.04633333333333333,-0.54,-0.1865,0.15,0.6645
2021,201.8550033569336,-17.033564525035892,-0.3520452290513995,-0.28403685531502715,-0.8574999999999999,-0.13849999999999998,-0.44,-0.0785,-0.54,-0.1865
2022,200.3279800415039,-17.661201587587858,-0.36598687464169494,-0.301703602757989,0.1608333333333333,0.29716666666666663,-1.01,-0.28400000000000003,-0.44,-0.0785
2023,459.65640258789057,88.92795636344773,2.0016684991171174,1.9268644613641168,0.9491666666666667,0.45316666666666666,1.605,0.8855,-1.01,-0.28400000000000003
2024,254.92848587036133,4.780696152940444,0.1325129803540292,0.28104105740526575,-6666.125833333333,-0.2805,-0.045,0.191,1.605,0.8855
2025,,,,,-9999.0,,-9999.0,,-0.045,0.191
